Title,Company,Ratings,Reviews,Experience,Salary,Posted,Location,URL,Keywords
Hiring Business data analyst with Strong SQL Skills,Hexaware Technologies Ltd.,3.5,1667,9-13,"9,00,000 - 18,00,000 PA.",1,Bangalore/Bengaluru,https://www.naukri.com/job-listings-hiring-business-data-analyst-with-strong-sql-skills-hexaware-technologies-ltd-bangalore-bengaluru-9-to-13-years-170721004262?src=jobsearchDesk&sid=16266119867455372&xp=1&px=1,"IT Skills,Tableau,Data Quality,Data Management,Data Profiling,Data Analysis,Data Modeling,ETL,"
Business Data Analyst,United Phosphorus Limited,4.3,850,5-7,Not disclosed,2,Mumbai,https://www.naukri.com/job-listings-business-data-analyst-upl-limited-mumbai-5-to-7-years-160721903832?src=jobsearchDesk&sid=16266119867455372&xp=2&px=1,"Data Extraction,Data Visualization,QlikView,Tableau,Data Analytics,Qliksense,Auditing,"
Business Data Analyst,NetApp,4.2,118,3-6,Not disclosed,1,Bangalore/Bengaluru,https://www.naukri.com/job-listings-business-data-analyst-netapp-india-private-limited-bangalore-bengaluru-3-to-6-years-160721907998?src=jobsearchDesk&sid=16266119867455372&xp=3&px=1,"Data Analysis,Data Mining,Data Analyst,Business Analysis,"
"Business Data Analyst - Treasury Markets,",Luxoft,4.4,73,3-6,Not disclosed,2,Bangalore/Bengaluru,https://www.naukri.com/job-listings-business-data-analyst-treasury-markets-luxoft-bangalore-bengaluru-3-to-6-years-150721500795?src=jobsearchDesk&sid=16266119867455372&xp=5&px=1,"IT Skills,Testing,Product Management,Oracle,Tableau,Business process,Business analysis,Agile,"
Network Design & Data Analyst,Dell International Services India  Private Limited,4.0,1776,0-2,Not disclosed,13,Bangalore/Bengaluru,https://www.naukri.com/job-listings-network-design-data-analyst-dell-international-services-india-private-limited-bangalore-bengaluru-0-to-2-years-050721905359?src=jobsearchDesk&sid=16266119867455372&xp=6&px=1,"JMP,Six Sigma,SAS,Lean,SQL,Project Management,IT Skills,Data Science,"
Business & Data Analyst,M/s. orange business services,4.2,532,2-5,Not disclosed,1,Mumbai,https://www.naukri.com/job-listings-business-data-analyst-m-s-orange-business-services-mumbai-2-to-5-years-160721500265?src=jobsearchDesk&sid=16266119867455372&xp=8&px=1,"IT Skills,Python,Testing,Project Management,BPO,project management,Data analysis,Data validation,"
BI Developer / Senior Data Analyst,Brandmuscle,3.2,8,3-6,Not disclosed,1,Bangalore/Bengaluru,https://www.naukri.com/job-listings-bi-developer-senior-data-analyst-brandmuscle-bangalore-bengaluru-3-to-6-years-160721500108?src=jobsearchDesk&sid=16266119867455372&xp=9&px=1,"IT Skills,Quality Assurance,Azure,Manager Quality Assurance,Data modeling,Business analysis,XML,Data Analyst,"
Data Analyst,COLLABERA,3.7,520,1-3,Not disclosed,1,"New Delhi, Pune, Gurgaon/Gurugram, Delhi / NCR",https://www.naukri.com/job-listings-data-analyst-collabera-technologies-private-limited-new-delhi-pune-gurgaon-gurugram-delhi-ncr-1-to-3-years-161119002766?src=jobsearchDesk&sid=16266119867455372&xp=10&px=1,"Spark,Databricks,communication,R Programming,NLP,data analysis,SQL,Python,"
Sr. Data Analyst,Tech Mahindra Ltd.,3.6,11564,3-8,Not disclosed,4,Pune,https://www.naukri.com/job-listings-sr-data-analyst-tech-mahindra-ltd-pune-3-to-8-years-140721905799?src=jobsearchDesk&sid=16266119867455372&xp=11&px=1,"requirements gathering,data migration,NO - SQL,ETL,data source gap analysis,Scala,data cleansing,data mapping,"
"Data Analyst,1",Epsilon,3.8,192,0-2,Not disclosed,3,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-1-epsilon-bangalore-bengaluru-0-to-2-years-140721500990?src=jobsearchDesk&sid=16266119867455372&xp=12&px=1,"Computer science,SAS,Business analysis,Hypothesis Testing,Marketing operations,Mathematics,Data mining,Analytics,"
Consultant - Data Analyst,Flipkart Internet Private Limited,4.2,3401,0-2,Not disclosed,12,Bangalore/Bengaluru,https://www.naukri.com/job-listings-consultant-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-0-to-2-years-060721901131?src=jobsearchDesk&sid=16266119867455372&xp=13&px=1,"Data Validation,Power Bi,MIS,Data Analysis,SQL Queries,Advanced Excel,Tableau,Dashboards,"
Assistant Vice President - MIS & Reporting ( Business Data Analyst),INTERTRUSTVITEOS CORPORATE AND FUND SERVICES PVT. LTD.,3.2,5,0-15,Not disclosed,11,"Mumbai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-assistant-vice-president-mis-reporting-business-data-analyst-intertrustviteos-corporate-and-fund-services-pvt-ltd-mumbai-bangalore-bengaluru-10-to-15-years-080521002186?src=jobsearchDesk&sid=16266119867455372&xp=15&px=1,"Data Engineering,SQL Server,Data Visualization,Data Automation,Automation,Power Bi,Service Integration,Service Transition,"
Senior Data Analyst,"Liventus, Inc.",4.2,6,5-8,"10,00,000 - 20,00,000 PA.",2,Bangalore/Bengaluru(2nd Phase JP Nagar),https://www.naukri.com/job-listings-senior-data-analyst-liventus-inc-bangalore-bengaluru-5-to-8-years-240621007072?src=jobsearchDesk&sid=16266119867455372&xp=16&px=1,"Tableau,ETL Tool,SQL,IT Skills,Testing,Javascript,data analytics,Shell Scripting,"
Data Analyst,IBM India Pvt. Limited,4.0,9990,0-1,Not disclosed,1,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-ibm-india-pvt-limited-bangalore-bengaluru-0-to-1-years-160721908057?src=jobsearchDesk&sid=16266119867455372&xp=17&px=1,"IT Skills,Testing,SAP,Data Analyst, Software Development,"
"Hot Vacancies - Senior Data Analyst, Bengaluru",WSP CONSULTANTS INDIA PRIVATE LIMITED,4.1,68,5-10,Not disclosed,6,Bangalore/Bengaluru,https://www.naukri.com/job-listings-hot-vacancies-senior-data-analyst-bengaluru-wsp-consultants-india-private-limited-bangalore-bengaluru-5-to-10-years-120721003790?src=jobsearchDesk&sid=16266119867455372&xp=18&px=1,"Azure,Power Bi,SSRS,Data Analyst,SSIS,tableau,MS SQL,Data Analysis,"
Data analyst,Harman Connected Services Corporation India Pvt.,3.7,595,5-8,Not disclosed,1,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-harman-connected-services-corporation-india-pvt-bangalore-bengaluru-5-to-8-years-160721500213?src=jobsearchDesk&sid=16266119867455372&xp=20&px=1,"R,Sas,Advanced Analytics,Big Data,Data Analyst,Statistical Analysis,Market Research,Python,"
Principal BT Data Analyst - Python,inVentiv International Pharma Services Pvt. Ltd.,4.2,28,8-12,Not disclosed,2,"Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",https://www.naukri.com/job-listings-principal-bt-data-analyst-python-inventiv-international-pharma-services-pvt-ltd-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-8-to-12-years-140621006174?src=jobsearchDesk&sid=16266120041661147&xp=1&px=2,"Unix Scripting,Python,SQL,Salesforce,"
Operations Analyst/Data Analyst 1-3 years Experience,EmQos Embedded Engineering Pvt. Ltd.,2.4,6,1-3,"2,50,000 - more than 3,00,000 PA.",2,Bangalore/Bengaluru(Banashankari Stage III),https://www.naukri.com/job-listings-operations-analyst-data-analyst-1-3-years-experience-emqos-embedded-engineering-pvt-ltd-bangalore-bengaluru-1-to-3-years-160721001131?src=jobsearchDesk&sid=16266120041661147&xp=2&px=2,"Pivot Table,Data Validation,Excel,VLOOKUP,Data Analysis,Conditional Formatting,HLOOKUP,"
Data Analyst,Axis My India Limited,3.2,49,2-4,"5,00,000 - 6,00,000 PA.",2,Mumbai,https://www.naukri.com/job-listings-data-analyst-axis-my-india-limited-mumbai-2-to-4-years-300121002352?src=jobsearchDesk&sid=16266120041661147&xp=3&px=2,"Data Analysis,Advanced Excel,Data Analytics,Business Intelligence,Segmentation,Data Collection,Tableau,Data Cleaning,"
Data Analyst,Blueocean Market Intelligence,3.3,66,2-5,Not disclosed,2,Mumbai,https://www.naukri.com/job-listings-data-analyst-blueocean-market-intelligence-mumbai-2-to-5-years-160721500061?src=jobsearchDesk&sid=16266120041661147&xp=4&px=2,"Client handling,big data analytics,Artificial Intelligence,Market intelligence,Machine learning,Data Analyst,SPSS,WinCross,"
Operations Analytics /Data Analyst Associate,AffinityX,3.1,279,3-8,Not disclosed,2,Pune,https://www.naukri.com/job-listings-operations-analytics-data-analyst-associate-affinityx-pune-3-to-8-years-160721004536?src=jobsearchDesk&sid=16266120041661147&xp=5&px=2,"Financial Analysis,Data Analysis,MIS Reporting,Analytics,"
Data Analyst,Flipkart,4.2,3401,3-8,Not disclosed,5,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-flipkart-bangalore-bengaluru-3-to-8-years-130721906198?src=jobsearchDesk&sid=16266120041661147&xp=7&px=2,"hive,tableau,power bi,Predictive modeling,Data Analyst,Management,big data,SQL,"
Data Analyst,IBM India Pvt. Limited,4.0,9990,3-7,Not disclosed,5,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-ibm-india-pvt-limited-bangalore-bengaluru-3-to-7-years-120721906836?src=jobsearchDesk&sid=16266120041661147&xp=8&px=2,"IT Skills,Testing,information system,System architecture,build automation,development testing,Process improvement,Data Analyst,"
PDM - Data Analyst,Schneider Electric India Pvt. Ltd.,4.2,1419,3-4,Not disclosed,5,"Davangere, Bangalore/Bengaluru",https://www.naukri.com/job-listings-pdm-data-analyst-schneider-electric-india-pvt-ltd-davangere-bangalore-bengaluru-3-to-4-years-120721501615?src=jobsearchDesk&sid=16266120041661147&xp=9&px=2,"Plm,Product Development,Communication Skills,Product Design,Mechanical Design,Cad,Mechanical Engineering,Sheet Metal,"
Data Analyst,"QuinStreet, Inc.",2.8,12,0-3,Not disclosed,5,Pune,https://www.naukri.com/job-listings-data-analyst-quinstreet-inc-pune-0-to-3-years-120721500746?src=jobsearchDesk&sid=16266120041661147&xp=10&px=2,"Excel,Online Media,Computer Science,Operations Research,Data Mining,Data Analyst,Tableau,Statistics,"
Research  Associate / Data Analyst I Pune I 6 months - 2 years,Skymet Weather Services Pvt Ltd. Pune,4.1,59,0-2,"3,00,000 - 3,25,000 PA.",6,Pune,https://www.naukri.com/job-listings-research-associate-data-analyst-i-pune-i-6-months-2-years-skymet-weather-services-pvt-ltd-pune-pune-0-to-2-years-100721004012?src=jobsearchDesk&sid=16266120041661147&xp=11&px=2,"SQL,Python,Excel,VBA,IT Skills,phython,"
Advanced Business Analyst I - Data Analytics,Novo Nordisk India,4.0,367,7-12,Not disclosed,2,Bangalore/Bengaluru,https://www.naukri.com/job-listings-advanced-business-analyst-i-data-analytics-novo-nordisk-india-bangalore-bengaluru-7-to-12-years-150721500156?src=jobsearchDesk&sid=16266120041661147&xp=12&px=2,"Qa,R,Oracle Database,Software Engineering,Scrum Master,Quality Management,Clinical Data Management,Data Warehousing,"
Advanced Business Analyst II - Data Analytics,Novo Nordisk India,4.0,367,8-13,Not disclosed,2,Bangalore/Bengaluru,https://www.naukri.com/job-listings-advanced-business-analyst-ii-data-analytics-novo-nordisk-india-bangalore-bengaluru-8-to-13-years-150721500152?src=jobsearchDesk&sid=16266120041661147&xp=13&px=2,"Qa,Agile Methodology,Linux,Scrum Master,Computer Science,Cloud,Quality Management,Clinical Data Management,"
Data Analyst – GSR Business Services – Mumbai,GSR Business Services Private Limited.,4.7,13,2-7,"3,00,000 - 8,00,000 PA.",5,Mumbai (All Areas),https://www.naukri.com/job-listings-data-analyst-gsr-business-services-mumbai-gsr-business-services-private-limited-mumbai-all-areas-2-to-7-years-130721004755?src=jobsearchDesk&sid=16266120041661147&xp=14&px=2,"profile analysis,Web Analysis,Data Mining,power bi,computational Modelling,SQL Server,Business Analysis,differencing analysis,"
Business Data Analyst - MIS & Reporting,INTERTRUST GROUP,3.6,14,3-8,Not disclosed,11,"Mumbai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-business-data-analyst-mis-reporting-intertrust-group-mumbai-bangalore-bengaluru-3-to-8-years-270121001879?src=jobsearchDesk&sid=16266120041661147&xp=15&px=2,"SQL Server,Tableau,ETL,Spotfire,Data Engineering,Power Bi,MS Visio,SSRS,"
Senior Security Specialist - CS Awareness & Data Analyst,Cognizant Technology Solutions India Pvt Ltd,3.8,16544,4-7,Not disclosed,15,Bangalore/Bengaluru,https://www.naukri.com/job-listings-senior-security-specialist-cs-awareness-data-analyst-cognizant-technology-solutions-india-pvt-ltd-bangalore-bengaluru-4-to-7-years-030721003337?src=jobsearchDesk&sid=16266120041661147&xp=17&px=2,"BRDs,data processing auditing experience,ISO 27001 NIST PCI,ISO27001 LA LI,FSDs,"
Data Analyst,Trigent Software,3.8,155,8-13,Not disclosed,2,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-trigent-software-private-limited-bangalore-bengaluru-8-to-13-years-150721609374?src=jobsearchDesk&sid=16266120207368326&xp=1&px=3,"python,Excel,Powershell,Confluence,VBS,Data Analysis,Visio,SSIS,"
Data Analyst,Trigent Software,3.8,155,8-13,Not disclosed,2,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-trigent-software-private-limited-bangalore-bengaluru-8-to-13-years-150721009372?src=jobsearchDesk&sid=16266120207368326&xp=2&px=3,"VBS,communication,Confluence,JIRA,written,SSIS,powershell,verbal,"
Data Analyst,Harman Connected Services Corporation India Pvt.,3.7,595,5-7,Not disclosed,4,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-harman-connected-services-corporation-india-pvt-bangalore-bengaluru-5-to-7-years-130721500081?src=jobsearchDesk&sid=16266120207368326&xp=5&px=3,"Microstrategy,Automation,Business objects,Linux,Data management,PLSQL,OLAP,QlikView,"
Data analysts,IBM India Pvt. Limited,4.0,9990,5-10,Not disclosed,9,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analysts-ibm-india-pvt-limited-bangalore-bengaluru-5-to-10-years-090721905779?src=jobsearchDesk&sid=16266120207368326&xp=7&px=3,"risk compliance,Data center operations,Information security,Cloud,IT risk management,Data Analyst,Application development,Data analytics,"
Data Analyst,Siemens Limited,4.2,2197,0-5,Not disclosed,12,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-siemens-limited-bangalore-bengaluru-0-to-5-years-050721501272?src=jobsearchDesk&sid=16266120207368326&xp=10&px=3,"Order management,Supply chain,Business services,Data analysis,metadata,SAP,Data structures,Business solutions,"
Lead Base Data Analyst- Data Operations,IntegriChain,4.5,4,3-7,Not disclosed,1,Pune,https://www.naukri.com/job-listings-lead-base-data-analyst-data-operations-integrichain-pune-3-to-7-years-160721501116?src=jobsearchDesk&sid=16266120207368326&xp=11&px=3,"Business process,Data analysis,Process improvement,Data Analyst,Life sciences,JIRA,Forecasting,Product support,"
Base Data Analyst,IntegriChain,4.5,4,1-4,Not disclosed,1,Pune,https://www.naukri.com/job-listings-base-data-analyst-integrichain-pune-1-to-4-years-160721501108?src=jobsearchDesk&sid=16266120207368326&xp=12&px=3,"IT Skills,Python,Business process,Data analysis,Process improvement,Pharma,Life sciences,JIRA,"
Hiring Freshers - Data Research Analyst - Managed Invesment Data,Morningstar,4.2,163,0-1,"3,00,000 - 4,00,000 PA.",4,Mumbai(Sector 30A Vashi),https://www.naukri.com/job-listings-hiring-freshers-data-research-analyst-managed-invesment-data-morningstar-india-p-ltd-mumbai-0-to-1-years-140721004919?src=jobsearchDesk&sid=16266120207368326&xp=14&px=3,"Data Research,Financial Analysis,Finance,Research Analysis,Fundamentals,Equity,Data Collection,"
Asset Data Analyst,Aptean,3.5,86,1-4,Not disclosed,5,Bangalore/Bengaluru,https://www.naukri.com/job-listings-asset-data-analyst-aptean-bangalore-bengaluru-1-to-4-years-120721500397?src=jobsearchDesk&sid=16266120207368326&xp=18&px=3,"Analyst,Supply chain management,ERP,Project management,Customer retention,Account management,Customer service,Management,"
Senior Data Analyst,Harman Connected Services Corporation India Pvt.,3.7,595,6-11,Not disclosed,5,Pune,https://www.naukri.com/job-listings-senior-data-analyst-harman-connected-services-corporation-india-pvt-pune-6-to-11-years-120721501871?src=jobsearchDesk&sid=16266120207368326&xp=19&px=3,"Computer science,Automation,Data analysis,SAS,Performance testing,Perl,Scheduling,Test cases,"
Senior Data Analyst,Harman Connected Services Corporation India Pvt.,3.7,595,5-10,Not disclosed,5,Pune,https://www.naukri.com/job-listings-senior-data-analyst-harman-connected-services-corporation-india-pvt-pune-5-to-10-years-120721501860?src=jobsearchDesk&sid=16266120207368326&xp=20&px=3,"Computer science,Automation,Data analysis,Postgresql,Performance testing,Informatica,Apache,Unix shell scripting,"
Senior Data Analyst,Harman Connected Services Corporation India Pvt.,3.7,595,2-7,Not disclosed,3,Bangalore/Bengaluru,https://www.naukri.com/job-listings-senior-data-analyst-harman-connected-services-corporation-india-pvt-bangalore-bengaluru-2-to-7-years-140721500500?src=jobsearchDesk&sid=16266120379296707&xp=1&px=4,"Automation,Data management,Data modeling,RDBMS,XML,Informatica,SSIS,Distribution system,"
Senior Data Operations Analyst,Dun & Bradstreet Information Services India Pvt Lt d,3.8,110,6-9,Not disclosed,2,"Mumbai, Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",https://www.naukri.com/job-listings-senior-data-operations-analyst-dun-bradstreet-information-services-india-pvt-lt-d-mumbai-mumbai-suburban-navi-mumbai-mumbai-all-areas-6-to-9-years-160721000768?src=jobsearchDesk&sid=16266120379296707&xp=2&px=4,"Tableau,Python,SQL,R,Power Bi,Artificial Intelligence,Data Analysis,Data Mining,"
Analyst - Data Analysis,Tesco Bengaluru,4.2,645,1-2,Not disclosed,2,Bangalore/Bengaluru,https://www.naukri.com/job-listings-analyst-data-analysis-tesco-bengaluru-bangalore-bengaluru-1-to-2-years-150721500886?src=jobsearchDesk&sid=16266120379296707&xp=5&px=4,"Data Quality,Excel,Hadoop,Data Analysis,Business Operations,Tableau,Due Diligence,Supply Chain,"
Data Analyst 2,Publicis Groupe,3.3,64,2-5,Not disclosed,4,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-2-publicis-groupe-bangalore-bengaluru-2-to-5-years-130721500589?src=jobsearchDesk&sid=16266120379296707&xp=6&px=4,"Logistic regression,Machine learning,Data structures,business rules,Sales process,MS Office,Digital marketing,SQL,"
Lead Data Analyst,Harman Connected Services Corporation India Pvt.,3.7,595,4-7,Not disclosed,4,Bangalore/Bengaluru,https://www.naukri.com/job-listings-lead-data-analyst-harman-connected-services-corporation-india-pvt-bangalore-bengaluru-4-to-7-years-130721500100?src=jobsearchDesk&sid=16266120379296707&xp=7&px=4,"Automation,Due diligence,Claims,Manager Quality Assurance,HP data protector,Staffing,Data quality,SSIS,"
Data Analyst,Harman Connected Services Corporation India Pvt.,3.7,595,2-6,Not disclosed,4,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-harman-connected-services-corporation-india-pvt-bangalore-bengaluru-2-to-6-years-130721500051?src=jobsearchDesk&sid=16266120379296707&xp=8&px=4,"Automation,Due diligence,Claims,HP data protector,Staffing,Machine learning,Succession planning,data privacy,"
Data Analyst,Harman Connected Services Corporation India Pvt.,3.7,595,4-9,Not disclosed,4,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-harman-connected-services-corporation-india-pvt-bangalore-bengaluru-4-to-9-years-130721500013?src=jobsearchDesk&sid=16266120379296707&xp=9&px=4,"Unix,Automation,Data validation,Claims,Staffing,Oracle,Data mining,SQL,"
Data Analyst,Flipkart Internet Private Limited,4.2,3401,3-5,Not disclosed,9,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-5-years-090721901093?src=jobsearchDesk&sid=16266120379296707&xp=10&px=4,"R,Excel,Data Analysis,SQL,Python,"
Data Analyst,Uber,3.9,373,1-3,Not disclosed,8,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-uber-bangalore-bengaluru-1-to-3-years-090721501706?src=jobsearchDesk&sid=16266120379296707&xp=11&px=4,"Computer science,Logistic regression,analytics reporting,Operations research,SAS,Data collection,Perl,Operations,"
Urgently Looking For Data Analyst,Flipkart Internet Private Limited,4.2,3401,2-3,"5,00,000 - 6,00,000 PA.",9,Bangalore/Bengaluru,https://www.naukri.com/job-listings-urgently-looking-for-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-2-to-3-years-080721006637?src=jobsearchDesk&sid=16266120379296707&xp=12&px=4,"Excel,Python,SQL,"
Job -ADAS Data Analyst C++ Python Power BI Mercedes-Benz Bengaluru.,Mercedes benz,3.7,595,3-8,Not disclosed,4,Bangalore/Bengaluru(Whitefield),https://www.naukri.com/job-listings-adas-data-analyst-c-python-power-bi-mercedes-benz-bengaluru-mercedes-benz-research-and-development-india-pvt-ltd-bangalore-bengaluru-3-to-8-years-010721008105?src=jobsearchDesk&sid=16266120379296707&xp=13&px=4,"C,Power Bi,Algorithm Design,Programming,Go,Time Series,Dashboards,Technical Recruitment,"
"Data Analyst, 2",Epsilon,3.8,192,2-5,Not disclosed,3,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-2-epsilon-bangalore-bengaluru-2-to-5-years-140721500989?src=jobsearchDesk&sid=16266120379296707&xp=14&px=4,"IT Skills,Testing,Computer science,Economics,MS Office tools,Hypothesis Testing,Marketing operations,Mathematics,"
Lead Data Analyst,Harman Connected Services Corporation India Pvt.,3.7,595,5-10,Not disclosed,4,Bangalore/Bengaluru,https://www.naukri.com/job-listings-lead-data-analyst-harman-connected-services-corporation-india-pvt-bangalore-bengaluru-5-to-10-years-130721500088?src=jobsearchDesk&sid=16266120379296707&xp=15&px=4,"Root cause analysis,Automation,Due diligence,Claims,Staffing,Problem management,Data quality,data mapping,"
Data Analyst Azure,CONDUENT BUSINESS SERVICES INDIA LLP,3.5,1048,3-6,Not disclosed,9,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-azure-conduent-business-services-india-llp-bangalore-bengaluru-3-to-6-years-080721006964?src=jobsearchDesk&sid=16266120379296707&xp=16&px=4,"Azure,SQL Queries,Data Analyst,"
FTE - Regional BI - Functional Data Analyst,Schneider Electric India Pvt. Ltd.,4.2,1419,5-8,Not disclosed,11,"Davangere, Bangalore/Bengaluru",https://www.naukri.com/job-listings-fte-regional-bi-functional-data-analyst-schneider-electric-india-pvt-ltd-davangere-bangalore-bengaluru-5-to-8-years-060721500779?src=jobsearchDesk&sid=16266120379296707&xp=17&px=4,"Business process,SAP ERP,Oracle CRM,Analytical,data governance,Informatica,SSIS,CRM sales,"
Deputy Manager - Data Analyst,Schneider Electric India Pvt. Ltd.,4.2,1419,3-6,Not disclosed,11,"Davangere, Bangalore/Bengaluru",https://www.naukri.com/job-listings-deputy-manager-data-analyst-schneider-electric-india-pvt-ltd-davangere-bangalore-bengaluru-3-to-6-years-060721500778?src=jobsearchDesk&sid=16266120379296707&xp=18&px=4,"Analytical skills,Excel,Data Analyst,Electricals,Electronics engineering,"
Data Analyst CX,Philips India Limited,4.0,506,6-10,Not disclosed,12,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-cx-philips-india-limited-bangalore-bengaluru-6-to-10-years-050721501674?src=jobsearchDesk&sid=16266120379296707&xp=19&px=4,"Training,Health insurance,Interpersonal skills,Relationship building,Agile,Transition,Data Analyst,Customer experience,"
